no,Panchayaths,Block,District
133,Chirakkara,Ithikkara,Kollam
134,Chithara,Chadayamangalam,Kollam
135,Kadakkal,Chadayamangalam,Kollam
136,Chadayamangalam,Chadayamangalam,Kollam
137,Ittiva,Chadayamangalam,Kollam
138,Velinalloor,Chadayamangalam,Kollam
139,Elamadu,Chadayamangalam,Kollam
140,Nilamel,Chadayamangalam,Kollam
141,Kummil,Chadayamangalam,Kollam
142,Anicadu,Mallappally,Pathanamthitta
143,Kaviyoor,Mallappally,Pathanamthitta
144,Kottanad,Mallappally,Pathanamthitta
145,Kottangal,Mallappally,Pathanamthitta
146,Kallooppara,Mallappally,Pathanamthitta
147,Kunnamthanam,Mallappally,Pathanamthitta
148,Mallappally,Mallappally,Pathanamthitta
149,Kadapra,Pulikeezhu,Pathanamthitta
150,Kuttoor,Pulikeezhu,Pathanamthitta
151,Niranam,Pulikeezhu,Pathanamthitta
152,Nedumpuram,Pulikeezhu,Pathanamthitta
153,Peringara,Pulikeezhu,Pathanamthitta
154,Ayroor,Koipuram,Pathanamthitta
155,Eraviperoor,Koipuram,Pathanamthitta
156,Koipuram,Koipuram,Pathanamthitta
157,Thottappuzhassery,Koipuram,Pathanamthitta
158,Ezhumattoor,Koipuram,Pathanamthitta
159,Puramattom,Koipuram,Pathanamthitta
160,Omalloor,Elanthoor,Pathanamthitta
161,Chenneerkara,Elanthoor,Pathanamthitta
162,Elanthoor,Elanthoor,Pathanamthitta
163,Cherukole,Elanthoor,Pathanamthitta
164,Kozhencherry,Elanthoor,Pathanamthitta
165,Mallappuzhassery,Elanthoor,Pathanamthitta
166,Naranganam,Elanthoor,Pathanamthitta
167,Ranni Pazhavangadi,Ranni,Pathanamthitta
168,Ranni,Ranni,Pathanamthitta
169,Ranni Angadi,Ranni,Pathanamthitta
170,Ranni Perunadu,Ranni,Pathanamthitta
171,Vadaserikara,Ranni,Pathanamthitta
172,Chittar,Ranni,Pathanamthitta
173,Seethathodu,Ranni,Pathanamthitta
174,Naranammoozhy,Ranni,Pathanamthitta
175,Vechoochira,Ranni,Pathanamthitta
176,Konni,Konni,Pathanamthitta
177,Aruvappulam,Konni,Pathanamthitta
178,Pramadom,Konni,Pathanamthitta
179,Mylapra,Konni,Pathanamthitta
180,Vallicode,Konni,Pathanamthitta
181,Thannithodu,Konni,Pathanamthitta
182,Malayalapuzha,Konni,Pathanamthitta
183,Pandalam Thekkekara,Pandalam,Pathanamthitta
184,Thumpamon,Pandalam,Pathanamthitta
185,Aranmula,Pandalam,Pathanamthitta
186,Mezhuveli,Pandalam,Pathanamthitta
187,Kulanada,Pandalam,Pathanamthitta
188,Enadimangalam,Parakkode,Pathanamthitta
189,Erathu,Parakkode,Pathanamthitta
190,Ezhamkulam,Parakkode,Pathanamthitta
191,Kadampanad,Parakkode,Pathanamthitta
192,Kalanjoor,Parakkode,Pathanamthitta
193,Kodumon,Parakkode,Pathanamthitta
194,Pallickal,Parakkode,Pathanamthitta
195,Arookutty,Thycattussery,Alappuzha
196,Chennam Pallippuram,Thycattussery,Alappuzha
197,Panavally,Thycattussery,Alappuzha
198,Perumpalam,Thycattussery,Alappuzha
199,Thycattussery,Thycattussery,Alappuzha
200,Vayalar,Pattanakkad,Alappuzha
201,Pattanakkad,Pattanakkad,Alappuzha
202,Thuravoor,Pattanakkad,Alappuzha
203,Kuthiathod,Pattanakkad,Alappuzha
204,Kodamthuruth,Pattanakkad,Alappuzha
205,Ezhupunna,Pattanakkad,Alappuzha
206,Aroor,Pattanakkad,Alappuzha
207,Mararikulam North,Kanjikuzhy,Alappuzha
208,Kanjikuzhy,Kanjikuzhy,Alappuzha
209,Thanneermukkom,Kanjikuzhy,Alappuzha
210,Cherthala South,Kanjikuzhy,Alappuzha
211,Kadakkarappally,Kanjikuzhy,Alappuzha
212,Aryad,Aryad,Alappuzha
213,Mannancherry,Aryad,Alappuzha
214,Mararikulam South,Aryad,Alappuzha
215,Muhamma,Aryad,Alappuzha
216,Purakkad,Ambalappuzha,Alappuzha
217,Ambalappuzha South,Ambalappuzha,Alappuzha
218,Ambalappuzha North,Ambalappuzha,Alappuzha
219,Punnapra South,Ambalappuzha,Alappuzha
220,Punnapra North,Ambalappuzha,Alappuzha
221,Thalavady,Champakulam,Alappuzha
222,Edathua,Champakulam,Alappuzha
223,Thakazhy,Champakulam,Alappuzha
224,Nedumudi,Champakulam,Alappuzha
225,Champakulam,Champakulam,Alappuzha
226,Kainakary,Champakulam,Alappuzha
227,Muttar,Veliyanad,Alappuzha
228,Veliyanad,Veliyanad,Alappuzha
229,Neelamperoor,Veliyanad,Alappuzha
230,Kavalam,Veliyanad,Alappuzha
231,Pulincunnoo,Veliyanad,Alappuzha
232,Ramankary,Veliyanad,Alappuzha
233,Mulakuzha,Chengannur,Alappuzha
234,Venmoney,Chengannur,Alappuzha
235,Cheriyanad,Chengannur,Alappuzha
236,Ala,Chengannur,Alappuzha
237,Puliyoor,Chengannur,Alappuzha
238,Budhanoor,Chengannur,Alappuzha
239,Pandanad,Chengannur,Alappuzha
240,Thiruvanvandoor,Chengannur,Alappuzha
241,Karthikappally,Haripad,Alappuzha
242,Thrikkunnappuzha,Haripad,Alappuzha
243,Kumarapuram,Haripad,Alappuzha
244,Karuvatta,Haripad,Alappuzha
245,Pallippad,Haripad,Alappuzha
246,Cheruthana,Haripad,Alappuzha
247,Veeyapuram,Haripad,Alappuzha
248,Mavelikara Thekkekara,Mavelikara,Alappuzha
249,Chettikulangara,Mavelikara,Alappuzha
250,Chennithala-Thripperumthura,Mavelikara,Alappuzha
251,Thazhakara,Mavelikara,Alappuzha
252,Mannar,Mavelikara,Alappuzha
253,Nooranad,Bharanickavu,Alappuzha
254,Vallikunnam,Bharanickavu,Alappuzha
255,Bharanickavu,Bharanickavu,Alappuzha
256,Mavelikara Thamarakulam,Bharanickavu,Alappuzha
257,Chunakara,Bharanickavu,Alappuzha
258,Palamel,Bharanickavu,Alappuzha
259,Pathiyoor,Muthukulam,Alappuzha
260,Kandalloor,Muthukulam,Alappuzha
261,Cheppad,Muthukulam,Alappuzha
262,Muthukulam,Muthukulam,Alappuzha
263,Arattupuzha,Muthukulam,Alappuzha
264,Krishnapuram,Muthukulam,Alappuzha
265,Devikulangara,Muthukulam,Alappuzha
266,Chingoli,Muthukulam,Alappuzha
267,Thalayazham,Vaikom,Kottayam
268,Chempu,Vaikom,Kottayam
269,Maravanthuruthu,Vaikom,Kottayam
270,TV Puram,Vaikom,Kottayam
271,Vechoor,Vaikom,Kottayam
272,Udayanapuram,Vaikom,Kottayam
273,Kaduthuruthy,Kaduthuruthy,Kottayam
274,Kallara,Kaduthuruthy,Kottayam
275,Mulakulam,Kaduthuruthy,Kottayam
276,Neezhoor,Kaduthuruthy,Kottayam
277,Thalayolaparambu,Kaduthuruthy,Kottayam
278,Velloor,Kaduthuruthy,Kottayam
279,Aymanam,Ettumanoor,Kottayam
280,Athirampuzha,Ettumanoor,Kottayam
281,Arpookara,Ettumanoor,Kottayam
282,Neendoor,Ettumanoor,Kottayam
283,Kumarakam,Ettumanoor,Kottayam
284,Thiruvarppu,Ettumanoor,Kottayam
285,Kadaplamattom,Uzhavoor,Kottayam
286,Marangattupilly,Uzhavoor,Kottayam
287,Kanakkary,Uzhavoor,Kottayam
288,Veliyannoor,Uzhavoor,Kottayam
289,Kuravilangad,Uzhavoor,Kottayam
290,Uzhavoor,Uzhavoor,Kottayam
291,Ramapuram,Uzhavoor,Kottayam
292,Manjoor,Uzhavoor,Kottayam
293,Bharananganam,Lalam,Kottayam
294,Karoor,Lalam,Kottayam
295,Kozhuvanal,Lalam,Kottayam
296,Kadanad,Lalam,Kottayam
297,Meenachil,Lalam,Kottayam
298,Mutholy,Lalam,Kottayam
299,Melukavu,Erattupetta,Kottayam
300,Moonnilavu,Erattupetta,Kottayam
301,Poonjar,Erattupetta,Kottayam
302,Poonjar Thekkekara,Erattupetta,Kottayam
303,Thalappalam,Erattupetta,Kottayam
304,Teekoy,Erattupetta,Kottayam
305,Thalanad,Erattupetta,Kottayam
306,Thidanad,Erattupetta,Kottayam
307,Akalakunnam,Pampady,Kottayam
308,Elikulam,Pampady,Kottayam
309,Kooroppada,Pampady,Kottayam
310,Pampady,Pampady,Kottayam
311,Pallikkathode,Pampady,Kottayam
312,Meenadom,Pampady,Kottayam
313,Kidangoor,Pampady,Kottayam
314,Manarcad,Pampady,Kottayam
315,Ayarkunnam,Pallom,Kottayam
316,Puthuppally,Pallom,Kottayam
317,Panachikkad,Pallom,Kottayam
318,Vijayapuram,Pallom,Kottayam
319,Kurichy,Pallom,Kottayam
320,Madappally,Madappally,Kottayam
321,Paippad,Madappally,Kottayam
322,Thrickodithanam,Madappally,Kottayam
323,Vakathanam,Madappally,Kottayam
324,Vazhappally,Madappally,Kottayam
325,Chirakkadavu,Vazhoor,Kottayam
326,Kangazha,Vazhoor,Kottayam
327,Nedumkunnam,Vazhoor,Kottayam
328,Vellavoor,Vazhoor,Kottayam
329,Vazhoor,Vazhoor,Kottayam
330,Karukachal,Vazhoor,Kottayam
331,Erumeli,Kanjirappally,Kottayam
332,Kanjirappally,Kanjirappally,Kottayam
333,Koottickal,Kanjirappally,Kottayam
334,Manimala,Kanjirappally,Kottayam
335,Mundakayam,Kanjirappally,Kottayam
336,Parathodu,Kanjirappally,Kottayam
337,Koruthodu,Kanjirappally,Kottayam
338,Adimaly,Adimaly,Idukki
339,Konnathady,Adimaly,Idukki
340,Bisonvalley,Adimaly,Idukki
341,Vellathooval,Adimaly,Idukki
342,Pallivasal,Adimaly,Idukki
343,Marayoor,Devikulam,Idukki
344,Munnar,Devikulam,Idukki
345,Kanthalloor,Devikulam,Idukki
346,Vattavada,Devikulam,Idukki
347,Santhanpara,Devikulam,Idukki
348,Chinnakanal,Devikulam,Idukki
349,Mankulam,Devikulam,Idukki
350,Devikulam,Devikulam,Idukki
351,Edamalakudi,Devikulam,Idukki
352,Pampadumpara,Nedumkandam,Idukki
353,Senapathy,Nedumkandam,Idukki
354,Karunapuram,Nedumkandam,Idukki
355,Rajakkad,Nedumkandam,Idukki
356,Nedumkandam,Nedumkandam,Idukki
357,Udumbanchola,Nedumkandam,Idukki
358,Rajakumary,Nedumkandam,Idukki
359,Vannappuram,Elemdesam,Idukki
360,Udumbanoor,Elemdesam,Idukki
361,Kodikulam,Elemdesam,Idukki
362,Alakode,Elemdesam,Idukki
363,Velliyamattom,Elemdesam,Idukki
364,Karimannoor,Elemdesam,Idukki
365,Kudayathoor,Elemdesam,Idukki
366,Idukki Kanjikuzhy,Idukki,Idukki
367,Vathikudy,Idukki,Idukki
368,Arakulam,Idukki,Idukki
369,Kamakshy,Idukki,Idukki
370,Vazhathope,Idukki,Idukki
371,Mariyapuram,Idukki,Idukki
372,Upputhara,Kattappana,Idukki
373,Vandanmedu,Kattappana,Idukki
374,Kanchiyar,Kattappana,Idukki
375,Erattayar,Kattappana,Idukki
376,Ayyappan Coil,Kattappana,Idukki
377,Chakkupallam,Kattappana,Idukki
378,Muttom,Thodupuzha,Idukki
379,Kumaramangalam,Thodupuzha,Idukki
380,Edavetty,Thodupuzha,Idukki
381,Karimkunnam,Thodupuzha,Idukki
382,Manakkad,Thodupuzha,Idukki
383,Purapuzha,Thodupuzha,Idukki
384,Peruvanthanam,Azhutha,Idukki
385,Kumily,Azhutha,Idukki
386,Kokkayar,Azhutha,Idukki
387,Peermade,Azhutha,Idukki
388,Elappara,Azhutha,Idukki
389,Vandiperiyar,Azhutha,Idukki
390,Chendamangalam,Paravur,Ernakulam
391,Kottuvally,Paravur,Ernakulam
392,Ezhikkara,Paravur,Ernakulam
393,Vadakkekkara,Paravur,Ernakulam
394,Chittattukara,Paravur,Ernakulam
395,Karumallur,Alangad,Ernakulam
396,Varapuzha,Alangad,Ernakulam
397,Alangad,Alangad,Ernakulam
398,Kadungalloor,Alangad,Ernakulam
399,Mookkannur,Angamaly,Ernakulam
400,Thuravoor,Angamaly,Ernakulam
401,Manjapra,Angamaly,Ernakulam
402,Karukutty,Angamaly,Ernakulam
403,Ayyampuzha,Angamaly,Ernakulam
404,Kanjoor,Angamaly,Ernakulam
405,Kalady,Angamaly,Ernakulam
406,Malayattoor Neeleeswaram,Angamaly,Ernakulam
407,Asamannoor,Koovappady,Ernakulam
408,Mudakuzha,Koovappady,Ernakulam
409,Vengoor,Koovappady,Ernakulam
410,Rayamangalam,Koovappady,Ernakulam
411,Koovappady,Koovappady,Ernakulam
412,Okkal,Koovappady,Ernakulam
413,Vengola,Vazhakulam,Ernakulam
414,Vazhakulam,Vazhakulam,Ernakulam
415,Kizhakkambalam,Vazhakulam,Ernakulam
416,Choornikkara,Vazhakulam,Ernakulam
417,Edathala,Vazhakulam,Ernakulam
418,Keezhmad,Vazhakulam,Ernakulam
419,Kadamakudy,Edappally,Ernakulam
420,Cheranalloor,Edappally,Ernakulam
421,Mulavukad,Edappally,Ernakulam
422,Elankunnapuzha,Edappally,Ernakulam
423,Narakal,Vypin,Ernakulam
424,Nayarambalam,Vypin,Ernakulam
425,Edavanakkad,Vypin,Ernakulam
426,Pallippuram,Vypin,Ernakulam
427,Kuzhuppilly,Vypin,Ernakulam
428,Chellanam,Palluruthy,Ernakulam
429,Kumbalanghi,Palluruthy,Ernakulam
430,Kumbalam,Palluruthy,Ernakulam
431,Udayamperoor,Mulanthuruthy,Ernakulam
432,Mulanthuruthy,Mulanthuruthy,Ernakulam
433,Chottanikkara,Mulanthuruthy,Ernakulam
434,Edakkattuvayal,Mulanthuruthy,Ernakulam
435,Amballoor,Mulanthuruthy,Ernakulam
436,Maneed,Mulanthuruthy,Ernakulam
437,Poothrikka,Vadavucode,Ernakulam
438,Thiruvaniyoor,Vadavucode,Ernakulam
439,Vadavucode Puthencruz,Vadavucode,Ernakulam
440,Mazhuvannoor,Vadavucode,Ernakulam
441,Aikaranad,Vadavucode,Ernakulam
442,Kunnathunad,Vadavucode,Ernakulam
443,Paingottoor,Kothamangalam,Ernakulam
444,Nellikuzhi,Kothamangalam,Ernakulam
445,Pindimana,Kothamangalam,Ernakulam
446,Kottappady,Kothamangalam,Ernakulam
447,Kavalangad,Kothamangalam,Ernakulam
448,Varappetty,Kothamangalam,Ernakulam
449,Keerampara,Kothamangalam,Ernakulam
450,Pothanicad,Kothamangalam,Ernakulam
451,Pallarimangalam,Kothamangalam,Ernakulam
452,Kuttampuzha,Kothamangalam,Ernakulam
453,Elanji,Pampakuda,Ernakulam
454,Thirumarady,Pampakuda,Ernakulam
455,Palakuzha,Pampakuda,Ernakulam
456,Pampakuda,Pampakuda,Ernakulam
457,Ramamangalam,Pampakuda,Ernakulam
458,Puthenvelikkara,Parakkadavu,Ernakulam
459,Chengamanad,Parakkadavu,Ernakulam
460,Nedumbassery,Parakkadavu,Ernakulam
461,Parakkadavu,Parakkadavu,Ernakulam
462,Kunnukara,Parakkadavu,Ernakulam
463,Sreemoolanagaram,Parakkadavu,Ernakulam
464,Avoly,Muvattupuzha,Ernakulam
465,Arakuzha,Muvattupuzha,Ernakulam
466,Valakom,Muvattupuzha,Ernakulam
467,Paipra,Muvattupuzha,Ernakulam
468,Kalloorkad,Muvattupuzha,Ernakulam
469,Ayavana,Muvattupuzha,Ernakulam
470,Manjalloor,Muvattupuzha,Ernakulam
471,Marady,Muvattupuzha,Ernakulam
472,Kadappuram,Chavakkad,Thrissur
473,Orumanayur,Chavakkad,Thrissur
474,Punnayur,Chavakkad,Thrissur
475,Punnayurkulam,Chavakkad,Thrissur
476,Vadakkekkad,Chavakkad,Thrissur
477,Choondal,Chowannur,Thrissur
478,Chowannur,Chowannur,Thrissur
479,Kadavallur,Chowannur,Thrissur
480,Kandanassery,Chowannur,Thrissur
481,Kattakampal,Chowannur,Thrissur
482,Porkulam,Chowannur,Thrissur
483,Kadangode,Chowannur,Thrissur
484,Velur,Chowannur,Thrissur
485,Desamangalam,Wadakanchery,Thrissur
486,Erumapetty,Wadakanchery,Thrissur
487,Mullurkara,Wadakanchery,Thrissur
488,Thekkumkara,Wadakanchery,Thrissur
489,Varavoor,Wadakanchery,Thrissur
490,Chelakkara,Pazhayannur,Thrissur
491,Vallathol Nagar,Pazhayannur,Thrissur
492,Kondazhy,Pazhayannur,Thrissur
493,Panjal,Pazhayannur,Thrissur
494,Pazhayannur,Pazhayannur,Thrissur
495,Thiruvilwamala,Pazhayannur,Thrissur
496,Madakkathara,Ollukkara,Thrissur
497,Nadathara,Ollukkara,Thrissur
498,Pananchery,Ollukkara,Thrissur
499,Puthur,Ollukkara,Thrissur
500,Adat,Puzhakkal,Thrissur
501,Avanur,Puzhakkal,Thrissur
502,Kaiparambu,Puzhakkal,Thrissur
503,Mulakunnathukavu,Puzhakkal,Thrissur
504,Tholur,Puzhakkal,Thrissur
505,Kolazhy,Puzhakkal,Thrissur
506,Elavally,Mullassery,Thrissur
507,Mullassery,Mullassery,Thrissur
508,Pavaratty,Mullassery,Thrissur
509,Venkitangu,Mullassery,Thrissur
510,Engandiyur,Thalikulam,Thrissur
511,Vatanappally,Thalikulam,Thrissur
512,Thalikulam,Thalikulam,Thrissur
513,Nattika,Thalikulam,Thrissur
514,Valapad,Thalikulam,Thrissur
515,Anthikad,Anthikad,Thrissur
516,Thanniyam,Anthikad,Thrissur
517,Chazhur,Anthikad,Thrissur
518,Manalur,Anthikad,Thrissur
519,Arimpur,Anthikad,Thrissur
520,Avinissery,Cherpu,Thrissur
521,Cherpu,Cherpu,Thrissur
522,Paralam,Cherpu,Thrissur
523,Vallachira,Cherpu,Thrissur
524,Alagappanagar,Kodakara,Thrissur
525,Kodakara,Kodakara,Thrissur
526,Mattathur,Kodakara,Thrissur
527,Nenmanikkara,Kodakara,Thrissur
528,Pudukad,Kodakara,Thrissur
529,Thrikkur,Kodakara,Thrissur
530,Varandarappilly,Kodakara,Thrissur
531,Karalam,Irinjalakuda,Thrissur
532,Kattoor,Irinjalakuda,Thrissur
533,Muriyad,Irinjalakuda,Thrissur
534,Parappukkara,Irinjalakuda,Thrissur
535,Padiyur,Vellangallur,Thrissur
536,Poomangalam,Vellangallur,Thrissur
537,Puthenchira,Vellangallur,Thrissur
538,Vellangallur,Vellangallur,Thrissur
539,Velukara,Vellangallur,Thrissur
540,Edathiruthy,Mathilakam,Thrissur
541,Kaipamangalam,Mathilakam,Thrissur
542,Mathilakam,Mathilakam,Thrissur
543,Perinjanam,Mathilakam,Thrissur
544,Sreenarayanapuram,Mathilakam,Thrissur
545,Edavilangu,Mathilakam,Thrissur
546,Eriyad,Mathilakam,Thrissur
547,Aloor,Mala,Thrissur
548,Annamanada,Mala,Thrissur
549,Kuzhur,Mala,Thrissur
550,Mala,Mala,Thrissur
551,Poyya,Mala,Thrissur
552,Kadukutty,Chalakudy,Thrissur
553,Kodassery,Chalakudy,Thrissur
554,Koratty,Chalakudy,Thrissur
555,Meloor,Chalakudy,Thrissur
556,Pariyaram,Chalakudy,Thrissur
557,Athirappilly,Chalakudy,Thrissur
558,Anakkara,Trithala,Palakkad
559,Chalissery,Trithala,Palakkad
560,Kappur,Trithala,Palakkad
561,Nagalassery,Trithala,Palakkad
562,Pattithara,Trithala,Palakkad
563,Thirumittacode,Trithala,Palakkad
564,Trithala,Trithala,Palakkad
565,Koppam,Pattambi,Palakkad
566,Kulukkallur,Pattambi,Palakkad
567,Muthuthala,Pattambi,Palakkad
568,Ongallur,Pattambi,Palakkad
569,Paruthur,Pattambi,Palakkad
570,Thiruvegappura,Pattambi,Palakkad
571,Vilayur,Pattambi,Palakkad
572,Ambalappara,Ottapalam,Palakkad
573,Ananganadi,Ottapalam,Palakkad
